nº;FR;PA80;swo;gyeli;bekwel;bekol;konzime;makaa;mpiemo;kwasio;njem;shiwa;BC (BLR3);Reconstr. Régionales (BLR 3);Reconstr. Mougiama, Hombert;;;;
152;canon;°b°è°m°b°V̀;;;mbèb;;mbɩ̀m;;mbèmbè;;;;;;
153;caoutchouc;°d°à°m°b°à;də̀mbà;ntàmbɛ̀;dàm;dàmbà;dàmà;ntàmbɛ̀;;dʰambi;dàmà;;;;
154;carquois;°p°ɔ̀°p°Í;;;pɔ̌p;;pɔ̌b;;pàbī;;pɔ̌b;;;;
155;carrefour;°m°à°n;mánə̀;mânù;;màn;màn;mààn;;mɛɛ;màn;;;;
156;casser;°b°ú°K°à;búlì;bvúɔ̀;bwâ;búɡ;búʔò;búɡə̀;būɡɔ̀;bu;búɡô;bù;;;
157;ceinture;°k°à°n°d°á;kàndē;;káná;;kàná;kàndá;kàndā;;kàná;;;;
158;célibataire;°k°ɔ̀;kwò;;kɔ̀;;kò;;kɔ̀;kwɔ;kò;;;;
159;cendre 1;°s°ù°í;;;ʃíí;;swìí;;sūì;;swìí;;*c*u*b*i;;
160;cendre 2;°p°ì;;pfùyá;;fì;;fìî;;pfii;;;;;
161;cent;°t°ɛ̀°T;tə̀ɾə̀;;;ntɛ̀d;tèr;tə̀d;;;tèr;;;;
162;céphalophe à bande dorsale;°c°é°n°V́;kə́nə̀;kénó;tjén;;céné;;;;cjén;;;°c°í°b°ò;
163;céphalophe à dos jaune;°ɟ°ɛ̀°m°á;ɟə̀mə̄;;ɟǎm;;djɛ̌m;;ɟɛ̀mɔ̄;;ɟjɛ́m;;;;
164;céphalophe bleu;;;;kɥèè;;cwìà;cɛ̀;;kɥaŋ;cwìà;;;;
165;céphalophe de Peters;°b°ì°n°d°í;;;b̥ǐd;;mpǐn;;mpìndī;;mpǐn;;*b*ì*n*d*í;°m°b°ì°n°d°e;
166;cérémonie, fête 1;°b°ò°n°ɡ°V̀;búʔ;;bjɔ̀ŋ;;bʊ̂ʔ;;ɓōɡɔ̀;;bʊ̂ʔ;;;;
167;cérémonie, fête 2;;;;;ncɔ̀ŋ;nzɔ̀ɔ̀;zàŋ;;nzɔŋ;nsɔ̀ɔ̀;;*j*á*n*ɡ;;
168;chair;°p°ú°n°d°à;;;pûd;;púnò;fə́ndə̀;pùndɔ̀;;púnò;;;;
169;chair, muscle;°s°ò°n;ʃùnù;sùnɛ́;;ʃùn;sʊ̀n;ʃùùn;;sun;sʊ̌n;;;;
170;chambre;°t°ɔ̂°ŋ;;;tɔ̂ŋ;;ntɔ́ɔ̀;;;;ntɔ́ɔ̀;;;;
